step,train_loss,val_loss
0,5.661212921142578,5.165497303009033
100,2.5271434783935547,2.5417439937591553
200,2.431452751159668,2.439520835876465
300,2.3153014183044434,2.323312997817993
400,2.1615006923675537,2.180830478668213
500,2.006394386291504,2.0831542015075684
600,1.9634042978286743,2.0282227993011475
700,1.874225378036499,1.962762475013733
800,1.7887616157531738,1.9110774993896484
900,1.789031982421875,1.8660091161727905
1000,1.7182245254516602,1.8487088680267334
1100,1.6192127466201782,1.8229029178619385
1200,1.593340277671814,1.7884576320648193
1300,1.582306981086731,1.7703990936279297
1400,1.5425474643707275,1.7361152172088623
1500,1.5258375406265259,1.7474405765533447
1600,1.5114954710006714,1.711591124534607
1700,1.5313873291015625,1.6815812587738037
1800,1.5173569917678833,1.6916162967681885
1900,1.4748783111572266,1.6751245260238647
2000,1.4635626077651978,1.6573293209075928
2100,1.3794382810592651,1.6652196645736694
2200,1.4245343208312988,1.6484596729278564
2300,1.3939056396484375,1.6202175617218018
2400,1.3947783708572388,1.5999571084976196
2500,1.405425786972046,1.6151307821273804
2600,1.378426432609558,1.6074626445770264
2700,1.3636126518249512,1.5860798358917236
2800,1.3672212362289429,1.5891484022140503
2900,1.3648526668548584,1.593150019645691
2999,1.3448412418365479,1.5948293209075928
